Date;Type;Platform;Units;Difficulty;Time Start;Time End;Temp1;Temp2
02/05/2023;Coding;exercism;9;;;;;
05/05/2023;Coding;exercism;5;;;;;
06/05/2023;Pairing;local;4;;;;;
08/05/2023;Coding;exercism;2;;;;;
08/05/2023;Pairing;local;4;;;;;
12/05/2023;Coding;exercism;11;;;;;
13/05/2023;Pairing;local;4;;;;;
15/05/2023;Coding;exercism;3;;;;;
16/05/2023;Studying;datacamp;1;;;;;
18/05/2023;Pairing;local;5;;;;;
20/05/2023;Pairing;local;3;;;;;
26/05/2023;Studying;datacamp;2;;;;;
27/05/2023;Pairing;local;4;;;;;
29/05/2023;Studying;datacamp;2;;;;;
15/06/2023;Pairing;local;4;;;;;
17/06/2023;Pairing;local;4;;;;;
25/06/2023;Pairing;local;4;;;;;
06/07/2023;Studying;datacamp;4;;;;;
09/07/2023;Pairing;local;4;;;;;
11/07/2023;Studying;datacamp;3;;;;;
13/07/2023;Studying;datacamp;3;;;;;
18/07/2023;Studying;datacamp;2;;;;;
20/07/2023;Studying;datacamp;2;;;;;
21/07/2023;Studying;datacamp;4;;;;;
22/07/2023;Pairing;local;4;;;;;
23/07/2023;Coding;local;3;;;;;
23/07/2023;Pairing;local;4;;;;;
